location_name,location,season,K,B,M,Q,nu,N,peak_time,A
Illinois,17,2022/2023,0.39702710987037565,0.44447894361848267,2.056830820122155,3.2652329752735207,0.11652289973280892,13800.640738795102,8.2066,1.0
Illinois,17,2023/2024,0.3973578224215266,0.1747659033254975,0.7176690244403492,1.0677566979808824,0.08322111193522035,14144.198177590752,14.0905,1.0
Illinois,17,2024/2025,0.31494768501100084,0.31327047283101445,10.360755070889304,3.5997147233426348,0.44832027456102835,36226.963756304765,16.834300000000002,1.0
Indiana,18,2021/2022,0.5665134476507129,0.11039775692467796,1.2806484218246406,1.898644986080938,0.20807386072252967,7945.049637434562,20.355,1.0
Indiana,18,2022/2023,0.5805529424705166,0.46202118740939524,3.8748864883903367,3.5952039244835317,0.20812977892458412,19083.686492558532,9.0,1.0
Indiana,18,2023/2024,0.38941406679949964,0.1932327138630104,0.9593587340384094,2.7725590919146206,0.13685836588740008,15866.82067800012,15.061100000000001,1.0
Indiana,18,2024/2025,0.3333809981832722,0.6136311412483361,22.054701536652818,0.8882605813611825,1.9291636253214879,24447.1301591615,19.001900000000003,1.0
Iowa,19,2021/2022,0.7671846922507245,0.2309608104885936,2.5224091072717685,5.591931868998996,0.06624188347711943,6191.7629107912735,21.0237,1.0
Iowa,19,2022/2023,0.5583028524547545,0.731543082646538,12.815158379994935,1.0223774744490297,1.280326309549504,7869.257609167801,10.9974,1.0
Iowa,19,2023/2024,0.552632322456175,0.416299791752519,25.363114525531536,1.02382808342754,2.875409593520765,8476.53081881325,20.7547,1.0
Iowa,19,2024/2025,0.4645729576908956,0.519540803638683,20.697295363715096,0.9957592566590736,1.1956567288902578,11346.650518217328,18.2967,1.0
Kansas,20,2021/2022,0.7707483452687668,0.13556510844709738,0.8076613368064437,1.8177096471860439,0.13052604998600115,6359.283574702057,18.6563,1.0
Kansas,20,2022/2023,0.5964378529485632,0.4429198364092382,1.6653229449466243,2.7527368798162275,0.0683065414938259,7364.900732129127,8.9999,1.0
